DATE,COUNT
12/4/2014,1
3/29/2017,1
3/30/2017,1
4/14/2017,1
6/3/2017,1
11/24/2017,1
3/21/2018,1
4/3/2018,1
7/12/2018,2
8/7/2018,1
11/16/2018,1
12/4/2018,1
12/13/2018,3
12/18/2018,2
1/23/2019,1
1/24/2019,1
2/8/2019,1
2/27/2019,1
3/8/2019,1
3/20/2019,2
4/30/2019,1
6/1/2019,1
6/11/2019,2
6/14/2019,2
6/21/2019,1
7/9/2019,2
7/17/2019,2
7/19/2019,4
7/23/2019,1
8/9/2019,6
8/21/2019,1
9/2/2019,2
9/4/2019,4
9/5/2019,2
9/24/2019,3
9/30/2019,1
10/3/2019,2
10/4/2019,1
10/16/2019,3
10/23/2019,4
10/24/2019,1
10/25/2019,3
10/28/2019,2
10/29/2019,1
10/30/2019,6
11/5/2019,2
11/8/2019,1
11/20/2019,5
11/21/2019,1
11/23/2019,1
11/29/2019,2
12/22/2019,1
1/14/2020,2
1/27/2020,1
1/28/2020,1
1/29/2020,2
2/4/2020,1
2/5/2020,2
2/19/2020,1
2/25/2020,2
2/28/2020,4
3/6/2020,1
3/15/2020,1
3/18/2020,1
3/19/2020,4
3/28/2020,7
4/4/2020,3
4/7/2020,1
4/9/2020,1
4/10/2020,1
4/14/2020,1
4/15/2020,5
4/16/2020,1
4/21/2020,10
4/22/2020,3
4/23/2020,2
5/6/2020,1
5/13/2020,3
5/19/2020,1
5/23/2020,1
5/27/2020,5
6/9/2020,1
6/10/2020,3
6/11/2020,1
6/17/2020,1
6/22/2020,1
6/23/2020,2
6/24/2020,2
6/26/2020,2
6/27/2020,8
6/29/2020,1
7/1/2020,1
7/7/2020,5
7/8/2020,3
7/10/2020,12
7/21/2020,2
7/23/2020,9
7/28/2020,2
8/4/2020,1
8/8/2020,5
8/12/2020,2
8/13/2020,2
8/14/2020,3
8/18/2020,2
8/19/2020,3
8/20/2020,4
8/21/2020,4
8/26/2020,1
8/27/2020,15
8/28/2020,4
8/29/2020,9
9/2/2020,2
9/3/2020,5
9/4/2020,8
9/8/2020,1
9/9/2020,2
9/10/2020,3
9/11/2020,5
9/15/2020,2
9/17/2020,5
9/18/2020,3
9/19/2020,4
9/22/2020,1
9/23/2020,3
9/24/2020,6
9/25/2020,3
9/26/2020,2
9/28/2020,2
9/29/2020,7
10/1/2020,7
10/2/2020,4
10/5/2020,1
10/6/2020,2
10/7/2020,6
10/8/2020,5
10/9/2020,3
10/14/2020,7
10/16/2020,3
10/17/2020,1
10/23/2020,8
10/26/2020,3
10/27/2020,5
10/28/2020,4
10/29/2020,2
10/30/2020,4
10/31/2020,9
11/3/2020,7
11/4/2020,4
11/6/2020,5
11/7/2020,4
11/9/2020,4
11/10/2020,1
11/11/2020,3
11/12/2020,1
11/14/2020,2
11/16/2020,1
11/17/2020,8
11/18/2020,5
11/20/2020,1
11/21/2020,3
11/22/2020,2
11/23/2020,4
11/24/2020,4
11/25/2020,1
11/26/2020,4
11/27/2020,1
12/2/2020,3
12/3/2020,13
12/4/2020,7
12/7/2020,3
12/10/2020,3
12/12/2020,4
12/15/2020,5
12/18/2020,1
12/21/2020,2
12/23/2020,2
12/29/2020,4
1/5/2021,2
1/6/2021,5
1/7/2021,9
1/8/2021,9
1/9/2021,4
1/15/2021,9
1/16/2021,1
1/19/2021,2
1/20/2021,1
1/21/2021,4
1/27/2021,3
1/28/2021,4
1/29/2021,8
1/30/2021,6
1/31/2021,6
2/1/2021,3
2/3/2021,2
2/4/2021,1
2/5/2021,5
2/6/2021,1
2/8/2021,1
2/9/2021,9
2/10/2021,11
2/11/2021,5
2/16/2021,5
2/17/2021,3
2/18/2021,3
2/19/2021,8
2/20/2021,2
2/23/2021,8
2/24/2021,6
2/25/2021,1
2/27/2021,3
3/2/2021,11
3/3/2021,2
3/4/2021,5
3/5/2021,6
3/9/2021,3
3/12/2021,4
3/15/2021,1
3/16/2021,1
3/17/2021,4
3/18/2021,3
3/19/2021,3
3/23/2021,8
3/24/2021,4
3/25/2021,11
3/26/2021,9
3/30/2021,6
3/31/2021,2
4/1/2021,5
4/2/2021,7
4/3/2021,2
4/5/2021,4
4/6/2021,6
4/9/2021,1
4/13/2021,7
4/15/2021,4
4/16/2021,5
4/20/2021,10
4/21/2021,1
4/22/2021,5
4/23/2021,6
4/24/2021,2
4/26/2021,1
4/27/2021,9
4/28/2021,14
4/29/2021,17
4/30/2021,4
5/1/2021,3
5/4/2021,6
5/6/2021,7
5/7/2021,2
5/10/2021,4
5/11/2021,9
5/12/2021,8
5/13/2021,2
5/14/2021,8
5/19/2021,1
5/20/2021,10
5/21/2021,4
5/22/2021,5
5/24/2021,1
5/25/2021,9
5/26/2021,10
5/27/2021,3
5/28/2021,3
6/1/2021,5
6/3/2021,5
6/4/2021,12
6/7/2021,2
6/8/2021,8
6/9/2021,9
6/10/2021,2
6/11/2021,4
6/15/2021,5
6/17/2021,4
6/18/2021,4
6/19/2021,5
6/21/2021,3
6/22/2021,3
6/23/2021,3
6/24/2021,13
6/26/2021,1
6/29/2021,1
6/30/2021,1
7/1/2021,9
7/2/2021,2
7/7/2021,10
7/8/2021,1
7/10/2021,1
7/12/2021,1
7/13/2021,22
7/14/2021,10
7/16/2021,7
7/19/2021,6
7/20/2021,1
7/21/2021,3
7/22/2021,5
7/23/2021,1
7/24/2021,4
7/26/2021,5
7/27/2021,7
7/28/2021,5
7/29/2021,21
7/30/2021,3
8/3/2021,5
8/6/2021,1
8/9/2021,5
8/10/2021,7
8/11/2021,17
8/12/2021,17
8/13/2021,17
8/14/2021,7
8/16/2021,15
8/17/2021,18
8/18/2021,2
8/23/2021,16
8/24/2021,9
8/25/2021,2
8/26/2021,14
8/27/2021,23
8/29/2021,21
9/1/2021,15
9/2/2021,3
9/3/2021,8
9/4/2021,1
9/6/2021,3
9/7/2021,9
9/8/2021,19
9/9/2021,16
9/10/2021,12
9/11/2021,6
9/14/2021,7
9/15/2021,18
9/16/2021,15
9/17/2021,15
9/18/2021,2
9/20/2021,9
9/21/2021,5
9/23/2021,25
9/24/2021,11
9/25/2021,15
9/27/2021,3
9/28/2021,14
9/29/2021,1
10/1/2021,18
10/2/2021,1
10/4/2021,19
10/5/2021,5
10/6/2021,8
10/7/2021,29
10/8/2021,4
10/9/2021,2
10/12/2021,5
10/13/2021,1
10/14/2021,7
10/15/2021,17
10/16/2021,4
10/18/2021,1
10/19/2021,15
10/20/2021,9
10/21/2021,5
10/22/2021,17
10/23/2021,7
10/25/2021,33
10/26/2021,2
10/27/2021,8
10/28/2021,9
10/29/2021,3
11/2/2021,25
11/3/2021,2
11/4/2021,6
11/5/2021,10
11/6/2021,3
11/8/2021,1
11/9/2021,30
11/10/2021,8
11/11/2021,9
11/12/2021,5
11/13/2021,2
11/16/2021,1
11/17/2021,8
11/18/2021,6
11/19/2021,2
11/20/2021,2
11/22/2021,4
11/23/2021,20
11/24/2021,19
11/25/2021,1
11/26/2021,3
11/27/2021,3
11/29/2021,15
11/30/2021,9
12/2/2021,3
12/3/2021,5
