DATE,COUNT
9/8/2016,1
1/4/2017,1
3/16/2017,1
4/11/2017,1
12/11/2017,1
9/3/2018,2
9/5/2018,1
10/23/2018,6
11/5/2018,1
11/14/2018,1
12/6/2018,1
12/17/2018,5
1/16/2019,1
2/25/2019,13
2/26/2019,3
3/8/2019,1
3/22/2019,1
6/24/2019,2
7/5/2019,5
7/18/2019,3
7/22/2019,1
7/23/2019,4
8/5/2019,1
8/22/2019,14
8/28/2019,1
9/6/2019,8
9/16/2019,4
10/2/2019,5
10/9/2019,4
10/18/2019,6
10/31/2019,4
11/14/2019,2
12/17/2019,10
12/19/2019,5
1/22/2020,22
2/10/2020,17
2/21/2020,8
3/6/2020,32
3/23/2020,7
4/3/2020,22
4/6/2020,1
4/20/2020,14
5/11/2020,1
5/21/2020,30
6/9/2020,23
6/10/2020,2
6/19/2020,4
7/6/2020,4
7/7/2020,41
7/24/2020,48
8/10/2020,50
8/12/2020,2
8/24/2020,27
8/26/2020,1
9/4/2020,65
9/14/2020,19
9/22/2020,68
10/6/2020,54
10/22/2020,31
11/6/2020,25
11/27/2020,60
12/3/2020,29
12/10/2020,49
12/17/2020,51
1/4/2021,25
1/8/2021,21
1/22/2021,36
2/5/2021,86
2/22/2021,161
2/23/2021,2
2/25/2021,3
3/8/2021,44
3/15/2021,2
3/31/2021,130
4/19/2021,21
4/27/2021,2
4/28/2021,1
5/4/2021,76
5/10/2021,56
5/20/2021,56
6/2/2021,1
6/3/2021,3
6/21/2021,53
7/2/2021,38
7/27/2021,42
7/28/2021,8
8/5/2021,134
8/11/2021,136
8/24/2021,127
8/31/2021,1
9/2/2021,22
9/8/2021,13
9/14/2021,244
9/28/2021,159
10/5/2021,2
10/8/2021,24
10/12/2021,64
10/20/2021,7
10/25/2021,86
10/29/2021,18
11/1/2021,9
11/3/2021,16
11/4/2021,26
11/5/2021,10
11/8/2021,19
11/9/2021,1
11/15/2021,1
11/18/2021,7
11/29/2021,19
12/2/2021,4
12/6/2021,62
12/13/2021,32
12/17/2021,36
12/21/2021,3
1/7/2022,45
1/11/2022,1
1/18/2022,1
1/21/2022,70
1/28/2022,5
1/31/2022,2
2/8/2022,248
2/9/2022,1
2/10/2022,3
2/11/2022,9
2/18/2022,1
2/21/2022,32
2/25/2022,6
3/7/2022,117
3/10/2022,2
3/18/2022,1
